Short description,Description,Caller,Assignment group,language,cleaned_description,descr_len,num_wds,avg_word,uniq_wds,tokenized_desc
instalar docad eletronico,"user: olghiveii

segue link



",lokiwfhg udkoqrcg,GRP_62,it,instalar docad eletronico user olgveiisegue link,48,6,7.166666666666667,6,instalar docad eletronico user olgveiisegue link
it  -  speker for skype conferences,"it - germany:

skype speakers are required for confernece room 1 an the conference room behind the cantine.
therefore michghytuael hÃ¤cker confirmed to purchase the new two speakers.
xvwchsdg pladjmxt suggested to go with one bigger speaker instead.
please check the prices to allow michghytuael to compare both possibilities.

",atlwdyej vtlhzbix,GRP_33,en,speker skype conference germany speaker required confernece room conference bend cannotine therefore michghytuael häcker confirmed purchase new two xvwchsdg pladjmxt suggested go one bigger speaker instead check price allow compare possibility,243,31,6.870967741935484,29,speker skype conference germany speaker required confernece room conference bend cannotine therefore michghytuael häcker confirmed purchase new two xvwchsdg pladjmxt suggested go one bigger speaker instead check price allow compare possibility
user safghghga needs to reset her password,"hello! could you pls help me and create a new password for user id: safghghga (gabryltka sabhtyhiko)?
she blocked her computer and now she needs to access aerp.
please, contact me when you have done it.
",mtgvfzwc cdabfghv,GRP_2,en,user safghghga need reset password could pls help create new id gabryltka sabhtyko blocked computer access aerp contact done,124,19,5.578947368421052,19,user safghghga need reset password could pls help create new id gabryltka sabhtyko blocked computer access aerp contact done
problem with crm leads,"

received from: vkzwafuh.tcjnuswg@gmail.com

hi,
when i received a lead i tried to convert it into an opportstorage_product by qualifying it. when i did that i got an error. see below. please advise.

[cid:image001.jpg@01d20f1e.cd84e580]

vkzwafuh tcjnuswg - cmp
sr. application eng.
vkzwafuh.tcjnuswg@gmail.com





",vkzwafuh tcjnuswg,GRP_15,en,problem crm lead recei haved lead tried convert opportstorage product qualifying got error see advise cmpsr application eng,123,18,5.888888888888889,17,problem crm lead recei haved lead tried convert opportstorage product qualifying got error see advise cmpsr application eng
company iphone device activation,company iphone device activation,rwiykpuc ckrmjqlx,GRP_0,en,company iphone device activation,32,4,7.25,4,company iphone device activation
vip2: unable to get on the network,vip2: unable to get on the network,vkjdgtxb pkinmjqs,GRP_0,en,unable get network,18,3,5.333333333333333,3,unable get network
printer rj0c on printer server HostName_1033 is not right for x64,"printer adds to pc fine but when trying to print continuously prints characters and symbols and that's it. when used on a x86 pc from server HostName_769 it prints fine.
printer is a laserjet 5si mx

tim komar looked at this",bzxljkoy rvoiqthl,GRP_12,en,printer server right add pc fine trying print continuously print character symbol used laserjet mxtim komar looked t,116,18,5.5,17,printer server right add pc fine trying print continuously print character symbol used laserjet mxtim komar looked t
can not get erp to issue deliveries for 4 sto's - truck scheduled to pick up at 10:00am today,"stock is available in erp but apparently not apo.  please help to issue deliveries for  5019229515, 5019229528, 5019229548 & 5019229566 to return scrap powder to powder plants.",aeiljfxg hzwxtyjr,GRP_6,en,get erp issue deli haveries sto truck scheduled pick today stock available apparently apo help return scrap powder plant,120,19,5.368421052631579,19,get erp issue deli haveries sto truck scheduled pick today stock available apparently apo help return scrap powder plant
the fitness center digital signage pc will not connect to the network to get updates.,the fitness center digital signage pc will not connect to the network to get updates.,cwuospin nbhoxqpe,GRP_3,en,fitness center digital signage pc connect network get update,60,9,5.777777777777778,9,fitness center digital signage pc connect network get update
unable to logon to erp,unable to logon to erp,ijplstng juybetlo,GRP_0,es,unable logon erp,16,3,4.666666666666667,3,unable logon erp
job SID_37hotf failed in job_scheduler at: 09/15/2016 07:40:00  ,"received from: monitoring_tool@company.com

job SID_37hotf failed in job_scheduler at: 09/15/2016 07:40:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
reset password user zigioachstyac - SID_34 /SID_37,reset password user zigioachstyac - SID_34/SID_37,jaeuqbvt orlhenfj,GRP_0,en,reset password user zigioachstyac,33,4,7.5,4,reset password user zigioachstyac
wg: zeichnung 5685567645,"

received from: dnwfhpyl.zqbldipk@gmail.com

von: vgsqetbx wpkcbtjl
gesendet: donnerstag, 15. september 2016 10:41
an: dnwfhpyl zqbldipk <dnwfhpyl.zqbldipk@gmail.com>
betreff: zeichnung 5685567645



hallo,
ich habe wieder eine zeichnung 5685645 mit falsch aufgedruckter zeichnungsnummer bitte richtigstellen


mit freundlichen grÃ¼ÃŸen

vgsqetbx wpkcbtjl
production planner
company produktions gmbh & co. kg
vgsqetbx.wpkcbtjl@gmail.com<mailto:vgsqetbx.wpkcbtjl@gmail.com>

geschÃ¤ftsfÃ¼hrer: dr. jofghyuach fabry, harald mÃ¤nnlein, rtnzvplq erhmuncq

von: dnwfhpyl zqbldipk
gesendet: dienstag, 16. april 2013 09:50
an: tfhzidnq wqpfdobe
cc: vgsqetbx wpkcbtjl; ksvqzmre yqnajdwh
betreff: aw: erp-plm: drawing with different drawing number

hallo heighjtyich,

ich bitte um entschuldigung wegen der falschen gdw drawing #. ein paar zeichnungen wurden 10 monate vor dem plm go-live versehentlich ein zweites mal umbenannt, nachdem sie schon konvertiert waren. die richtige plm nummer ist immer die rechts oben im druckstempel.

auch das viele eurer gescannten zeichnungen nictafvwlpz opfigqramdntyatisch nach pdf konvertiert werden konnten tut mir leid. es wurden > 2.600.000 zeichnungen konvertiert und etwa 4000 davon machten probleme. ein paar hundert davon scheinen von euch zu sein. wir reparieren diese wie bisher bei bedarf.

mit freundlichen grÃ¼ÃŸen / best ",dnwfhpyl zqbldipk,GRP_11,de,wg zeichnung von vgsqetbx wpkcbtjlgesendet donnerstag september betreff ich habe wieder eine mit falsch aufgedruckter zeichnungsnummer bitte richtigstellenmit freundlichen grüßenvgsqetbx wpkcbtjlproduction plannercompany produktions gmbh co kggeschäftsführer dr jofghyuach fabry harald männlein rtnzvplq erhmuncqvon gesendet dienstag april tfhzidnq wqpfdobecc wpkcbtjl ksvqzmre yqnajdwhbetreff aw erp plm drawing different number heighjtyich um entschuldigung wegen der falschen gdw ein paar zeichnungen wurden monate vor dem go li versehentlich zweites mal umbenannt nachdem sie schon konvertiert waren die richtige nummer ist immer rechts oben im druckstempel auch da viele eurer gescannten nictafvwlpz opfigqramdntyatisch nach pdf werden konnten tut mir leid e und etwa davon machten probleme hundert scheinen euch zu sein wir reparieren diese wie bisher bei bedarf grüßen,875,114,6.684210526315789,114,wg zeichnung von vgsqetbx wpkcbtjlgesendet donnerstag september betreff ich habe wieder eine mit falsch aufgedruckter zeichnungsnummer bitte richtigstellenmit freundlichen grüßenvgsqetbx wpkcbtjlproduction plannercompany produktions gmbh co kggeschäftsführer dr jofghyuach fabry harald männlein rtnzvplq erhmuncqvon gesendet dienstag april tfhzidnq wqpfdobecc wpkcbtjl ksvqzmre yqnajdwhbetreff aw erp plm drawing different number heighjtyich um entschuldigung wegen der falschen gdw ein paar zeichnungen wurden monate vor dem go li versehentlich zweites mal umbenannt nachdem sie schon konvertiert waren die richtige nummer ist immer rechts oben im druckstempel auch da viele eurer gescannten nictafvwlpz opfigqramdntyatisch nach pdf werden konnten tut mir leid e und etwa davon machten probleme hundert scheinen euch zu sein wir reparieren diese wie bisher bei bedarf grüßen
not able to access email,"not able to access email.

itclukpe aimcfeko is his manager",adlkywmc knzbuowr,GRP_0,en,able access email itclukpe aimcfeko manager,43,6,6.333333333333333,6,able access email itclukpe aimcfeko manager
erp SID_34 account unlock and password reset,erp SID_34 account unlock and password reset,ehoxaltv ripteyxl,GRP_0,en,erp account unlock password reset,33,5,5.8,5,erp account unlock password reset
job SID_47arc2 failed in job_scheduler at: 09/15/2016 06:35:00  ,"received from: monitoring_tool@company.com

job SID_47arc2 failed in job_scheduler at: 09/15/2016 06:35:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job SID_48arc1 failed in job_scheduler at: 09/15/2016 06:28:00  ,"received from: monitoring_tool@company.com

job SID_48arc1 failed in job_scheduler at: 09/15/2016 06:28:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job SID_48arc2 failed in job_scheduler at: 09/15/2016 06:21:00  ,"received from: monitoring_tool@company.com

job SID_48arc2 failed in job_scheduler at: 09/15/2016 06:21:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job SID_35arc2 failed in job_scheduler at: 09/15/2016 06:21:00  ,"received from: monitoring_tool@company.com

job SID_35arc2 failed in job_scheduler at: 09/15/2016 06:21:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
vpn doesnt check for antivirus or company domain while connecting from outside network,refer screenshot,akisjtzm uvbmysgc,GRP_2,en,vpn doesnt check antivirus company domain wle connecting outside network refer screenshot,89,12,6.5,12,vpn doesnt check antivirus company domain wle connecting outside network refer screenshot
job SID_37hotf failed in job_scheduler at: 09/15/2016 06:14:00  ,"received from: monitoring_tool@company.com

job SID_37hotf failed in job_scheduler at: 09/15/2016 06:14:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
system disk c: of server HostName_698 is full again,"

received from: fbyusmxz.kxvmcbly@gmail.com

hello,

system disk c: of server HostName_698 is full again â€“ please check.
we had the same issue 3 weeks ago (ticket inc1543749)
it is the virtual center server.
",fbyusmxz kxvmcbly,GRP_12,en,system disk c server full – check issue week ago ticket virtual center,70,13,4.461538461538462,13,system disk c server full check issue week ago ticket virtual center
reporting_tool: issues with daily sales and orders report.,"

received from: plfwoagd.chtpiazu@gmail.com

no reply from panjkytr.

please create a case.

what we need is a possibility to subscribe to a dedicated  daily sales and orders report and to receive the mti data per email instead of the total industrial results (consisting of the combined results of tooling and mti).


mit freundlichen grugermany / best ",plfwoagd chtpiazu,GRP_9,en,reporting tool issue daily sale order report reply panjkytr create case need possibility subscribe dedicated recei mti data per email instead total industrial result consisting combined tooling mit freundlichen grugermany,221,30,6.4,30,reporting tool issue daily sale order report reply panjkytr create case need possibility subscribe dedicated recei mti data per email instead total industrial result consisting combined tooling mit freundlichen grugermany
erp SID_34 account unlock and password reset,erp SID_34 account unlock and password reset,dbhwzfxy amhowrfk,GRP_0,en,erp account unlock password reset,33,5,5.8,5,erp account unlock password reset
"mr tmqfjard qzhgdoua, ordinary no. 100937, requires full access to the following EU_tool- modules:","fyi

von: axesnghb cyzuomxa 
gesendet: donnerstag, 15. september 2016 10:19
an: ughzilfm cfibdamq
cc: tmqfjard qzhgdoua
betreff: tmqfjard qzhgdoua : berechtigung fÃ¼r EU_tool- module


hallo herr bghakch,


herr tmqfjard qzhgdoua, stamm- nr. 100937,   benÃ¶tigt vollen zugriff auf folgende EU_tool- module :

chargenverwaltung

pulverleitstand




mit freundlichen grÃ¼ÃŸen

 preuÃŸ
supervisor rod production germany
axesnghb.cyzuomxa@gmail.com

geschÃ¤ftsfÃ¼hrer/managing directors: phvkowml azbtkqwx, naruedlk mpvhakdq
sitz/registered office: germany 

persÃ¶nlich haftende gesellschafterin/general partner: company gmbh



diese mitteilung ist einzig und allein fÃ¼r die nutzung durch den adressaten bestimmt und kann informationen enthalten, die schutzwÃ¼rdig, vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind. die verbreitung, verteilung oder vervielfÃ¤ltigung dieser mitteilung durch personen, bei denen es sich nicht um die beabsichtigten empfÃ¤nger handelt, ist streng verboten. wenn diese mitteilung aufgrund eines versehens bei ihnen eingegangen ist, dann benachrichtigen sie bitte den absender und lÃ¶schen sie diese mitteilung. 
        
select the following link to view the disclaimer in an alternate language. 
",tmqfjard qzhgdoua,GRP_59,de,mr ordinary requires full access following eu tool module fyivon axesnghb cyzuomxa gesendet donnerstag september ughzilfm cfibdamqcc betreff berechtigung für module herr bghakch stamm nr benötigt vollen zugriff auf folgende chargenverwaltungpulverleitstandmit freundlichen grüßen preußsupervisor rod production germanyaxesnghb geschäftsführer managing director phvkowml azbtkqwx naruedlk mpvhakdqsitz registered office germany persönlich haftende gesellschafterin general partner company gmbhdiese mitteilung ist einzig und allein die nutzung durch den adressaten immt kann informationen enthalten schutzwürdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind verbreitung verteilung vervielfältigung dieser personen bei denen e sich nicht um beabsichtigten empfänger handelt streng verboten wenn diese aufgrund eines versehens ihnen eingegangen dann benachrichtigen sie bitte absender löschen,918,108,7.5092592592592595,107,mr ordinary requires full access following eu tool module fyivon axesnghb cyzuomxa gesendet donnerstag september ughzilfm cfibdamqcc betreff berechtigung für module herr bghakch stamm nr benötigt vollen zugriff auf folgende chargenverwaltungpulverleitstandmit freundlichen grüßen preußsupervisor rod production germanyaxesnghb geschäftsführer managing director phvkowml azbtkqwx naruedlk mpvhakdqsitz registered office germany persönlich haftende gesellschafterin general partner company gmbhdiese mitteilung ist einzig und allein die nutzung durch den adressaten immt kann informationen enthalten schutzwürdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind verbreitung verteilung vervielfältigung dieser personen bei denen e sich nicht um beabsichtigten empfänger handelt streng verboten wenn diese aufgrund eines versehens ihnen eingegangen dann benachrichtigen sie bitte absender löschen
application response time (other network resources work normally),"while trying to ship product to usa, i am not getting a put-away ticket. the system is taking an estorage_productly long time to process the transaction, and i am getting an error stating that the update was terminated.
site / location : company usa, ohio
user id (ad) : lilesfhpk
system you are seeing performance problems on (please list all) (e.g., crm, erp, bw, bobj): erp SID_34
transactions that are slow (e.g., va01, create an order): md04
area this belongs to (e.g., sales, finance, markhtyeting etc.): production
how can this issue be replicated by the it support group:
are other users seeing this? not sure
please attach relevant screenshots and exact times when the issue occurred: 
",jyrzqhgt xwasiehc,GRP_18,en,application response time network resource work normally wle trying sp product usa getting put away ticket system taking estorage productly long process transaction error stating update terminated site location company oouser id ad lilesfhpksystem seeing performance problem list e g crm erp bw bobj transaction slow create order area t belongs sale finance markhtyeting etc productionhow issue replicated support group user sure attach relevant screenshots exact time occurred,477,68,6.029411764705882,66,application response time network resource work normally wle trying sp product usa getting put away ticket system taking estorage productly long process transaction error stating update terminated site location company oouser id ad lilesfhpksystem seeing performance problem list e g crm erp bw bobj transaction slow create order area t belongs sale finance markhtyeting etc productionhow issue replicated support group user sure attach relevant screenshots exact time occurred
request for mobile email access,"

received from: luxdnsvk.qmnyzcfs@gmail.com

dear sir,

attached is the filled wireless mobility policy sheet with my manager approval.
kindly enable email access to my mobile.
kindly contact me for any information required in this regard.

with best ",luxdnsvk qmnyzcfs,GRP_0,en,request mobile email access dear sir attached filled wireless mobility policy sheet manager approval ly enable contact information required t regard,148,21,6.095238095238095,21,request mobile email access dear sir attached filled wireless mobility policy sheet manager approval ly enable contact information required t regard
job Job_2645 failed in job_scheduler at: 09/15/2016 03:30:00  ,"received from: monitoring_tool@company.com

job Job_2645 failed in job_scheduler at: 09/15/2016 03:30:00",bpctwhsn kzqsbmtp,GRP_6,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
nan,"

received from: eqmuniov.ehxkcbgj@gmail.com

good morning,

when  trying to log on to erp i get this error below.
please help  urgently as i can not process customer order.

[cid:image001.png@01d20f2e.751db880]


",eqmuniov ehxkcbgj,GRP_0,en,nan trying log erp get t error help urgently process customer order,67,12,4.666666666666667,12,nan trying log erp get t error help urgently process customer order
computer gets hot,"

received from: ucphibmr.dfvkbtsj@gmail.com

hello,

my computer is hot and the fan runs all the time so you can hear it.


mit freundlichen grÃ¼ÃŸen / best ",ucphibmr dfvkbtsj,GRP_28,en,computer get hot ucpbmr dfvkbtsj fan run time hear mit freundlichen grüßen,74,12,5.25,12,computer get hot ucpbmr dfvkbtsj fan run time hear mit freundlichen grüßen
kabel vga tauschen \jionmpsf wnkpzcmv,kabel vga tauschen \jionmpsf wnkpzcmv,jionmpsf wnkpzcmv,GRP_24,de,kabel vga tauschen,18,3,5.333333333333333,3,kabel vga tauschen
monitor defekt,"hallo ,

der monitor von ahmet gÃ¶k im materiallager macht probleme. 
kannst du dir das bitte anschauen.
",vaigycet jtgmpdcr,GRP_24,de,monitor defekt der von ahmet gök im materiallager macht probleme kannst du dir da bitte anschauen,97,16,5.125,16,monitor defekt der von ahmet gök im materiallager macht probleme kannst du dir da bitte anschauen
install pulverleitstand \tmqfjard qzhgdoua,install pulverleitstand \tmqfjard qzhgdoua,tmqfjard qzhgdoua,GRP_24,en,install pulverleitstand,23,2,11.0,2,install pulverleitstand
falsche formatierung in pdf \bfqnvezs vwkasnxe,falsche formatierung in pdf \bfqnvezs vwkasnxe,bfqnvezs vwkasnxe,GRP_24,de,falsche formatierung pdf,24,3,7.333333333333333,3,falsche formatierung pdf
install pulverleitstand \vaigycet jtgmpdcr,install pulverleitstand \vaigycet jtgmpdcr,vaigycet jtgmpdcr,GRP_24,nl,install pulverleitstand,23,2,11.0,2,install pulverleitstand
job Job_1338 failed in job_scheduler at: 09/15/2016 02:46:00  ,"received from: monitoring_tool@company.com

job Job_1338 failed in job_scheduler at: 09/15/2016 02:46:00",bpctwhsn kzqsbmtp,GRP_9,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
crm complaint no.7611183893 - it ticket required,"

received from: wiypaqtu.lmgqbpvi@gmail.com

hello,

please raise it ticket on behalf of me for crm complaint no.7611183893 having error and it's not archived to ecc 6


with best ",wiypaqtu lmgqbpvi,GRP_15,en,crm complaint ticket required raise behalf error arcved ecc,59,9,5.666666666666667,9,crm complaint ticket required raise behalf error arcved ecc
login failure  -  erp user nieghjyukea,"

received from: bwvrncih.ibuyfrcq@gmail.com

good morning team

i have a problem login into erp, please can you assist?

kind ",bwvrncih ibuyfrcq,GRP_0,en,login failure erp user nieghjyukea teami problem assist,55,8,6.0,8,login failure erp user nieghjyukea teami problem assist
erp-engineering tool,"

received from: bqapjkcl.ljeakcqf@gmail.com

please reset my password in erp-engineering tool.

dipl.-ing.(ba) bqapjkcl ljeakcqf
bqapjkcl.ljeakcqf@gmail.com<mailto:bqapjkcl.ljeakcqf@gmail.com>


company shared services gmbh
managing directors/geschÃ¤ftsfÃ¼hrer: phvkowml azbtkqwx, naruedlk mpvhakdq
",bqapjkcl ljeakcqf,GRP_0,en,erp engineering tool reset password dipl ing ba company shared service gmbhmanaging director geschäftsführer phvkowml azbtkqwx naruedlk mpvhakdq,144,18,7.055555555555555,18,erp engineering tool reset password dipl ing ba company shared service gmbhmanaging director geschäftsführer phvkowml azbtkqwx naruedlk mpvhakdq
reenable erp SID_34 account for vvaghjnthl - same as that of henghl,"

received from: rxoynvgi.ntgdsehl@gmail.com

hi it team

kindly please assist to reset SID_34 password for user: vvaghjnthl.

hydstheud mddwwyleh
operation supervisor
company distribution services of asia pte ltd

email : rxoynvgi.ntgdsehl@gmail.com<mailto:rxoynvgi.ntgdsehl@gmail.com>",rxoynvgi ntgdsehl,GRP_2,en,reenable erp account vvaghjnthl henghl ly assist reset password user hydstheud mddwwylehoperation supervisorcompany distribution service asia pte ltdemail,154,18,7.611111111111111,18,reenable erp account vvaghjnthl henghl ly assist reset password user hydstheud mddwwylehoperation supervisorcompany distribution service asia pte ltdemail
logon balancing error,"

received from: wrelsfqa.qfwosjkh@gmail.com

good morning

please help. a few of us the south africa office in south africa cannot log into erp. we are all getting "" log on balancing error 88"". it looks like the diginet line is down. it is not effecting everyone.

kind ",wrelsfqa qfwosjkh,GRP_0,en,logon balancing error help u south africa office cannot log erp getting look like diginet line effecting everyone,113,18,5.333333333333333,18,logon balancing error help u south africa office cannot log erp getting look like diginet line effecting everyone
username: mabelteghj erp logon,"

received from: gkerqucv.bqumyrea@gmail.com

good morning,

i am not able to log in erp, kindly assist.

kind ",gkerqucv bqumyrea,GRP_0,en,user mabelteghj erp logon able log ly assist,44,8,4.625,8,user mabelteghj erp logon able log ly assist
erp system,"

received from: iksqbuxf.muzxgwvk@gmail.com

morning
please help syghmesa i can not lock in to erp i did do a shutdown on my computer  still not
please please help us at company south africa
",iksqbuxf muzxgwvk,GRP_0,en,erp system morning help syghmesa lock shutdown computer still u company south africa,84,13,5.538461538461538,13,erp system morning help syghmesa lock shutdown computer still u company south africa
erp,"

received from: vtzhelgs.ivewqogm@gmail.com

good morning,

can you please assist as i cannot log into erp. i receive the following error;

[cid:image001.png@01d20f27.6d462360]

",vtzhelgs ivewqogm,GRP_0,en,erp vtzhelgs havewqogm assist cannot log recei following error,62,9,6.0,9,erp vtzhelgs havewqogm assist cannot log recei following error
re; erp,"

received from: btyvqhjw.xbyolhsw@gmail.com

good day

trust you are well
please can you help cant lock in to erp give me the 88 code

",zvenmiap kocjpnle,GRP_0,en,erp btyvqhjw xbyolhsw good daytrust well help cannot lock gi code,65,11,5.0,11,erp btyvqhjw xbyolhsw good daytrust well help cannot lock gi code
an terminal 12 bei iso-u kÃ¶nnen im EU_tool keine zeichnungen mehr aufgerufen werden!!,an terminal 12 bei iso-u kÃ¶nnen im EU_tool keine zeichnungen mehr aufgerufen werden!! diese funktion wird wegen der auftragsbereitstellung benÃ¶tigt!!!!,tiefszyh sfujdlgv,GRP_42,de,terminal bei iso u können im eu tool keine zeichnungen mehr aufgerufen werden diese funktion wird wegen der auftragsbereitstellung benötigt,139,20,6.0,20,terminal bei iso u können im eu tool keine zeichnungen mehr aufgerufen werden diese funktion wird wegen der auftragsbereitstellung benötigt
 bobj error ,issue while refreshing the global spend analytics v2 report in bobj,ginjmaxk zumkvfeb,GRP_9,en,bobj error issue wle refresng global spend analytics report,59,9,5.666666666666667,9,bobj error issue wle refresng global spend analytics report
job bkwin_tax_interface_qa_daily failed in job_scheduler at: 09/15/2016 00:23:00  ,"received from: monitoring_tool@company.com
[critical] from: bma@HostName_1020.company.company.com ""lib5_drive2""  time: 9/14/2016 11:49:50 pm
[90:1004]  device address not found. 


backup statistics:
          
  session queuing time (hours)         0.00        
  -------------------------------------------      
  completed disk agents ........         11          
  failed disk agents ...........          0          
  aborted disk agents ..........          0          
  -------------------------------------------      
  disk agents total  ...........         11          
  ===========================================      
  completed media agents .......          1          
  failed media agents ..........          0          
  aborted media agents .........          0          
  -------------------------------------------      
  media agents total  ..........          1          
  ===========================================      
  mbytes total .................  148763 mb        
  used media total .............          1          
  disk agent errors total ......          0    

job bkwin_tax_interface_qa_daily failed in job_scheduler at: 09/15/2016 00:23:00",bpctwhsn kzqsbmtp,GRP_8,en,job bkwin tax interface qa daily failed scheduler monitoringtool,64,9,6.222222222222222,9,job bkwin tax interface qa daily failed scheduler monitoringtool
account locked in ad,account locked in ad,gvsabjhq cgwsbiep,GRP_0,en,account locked ad,17,3,5.0,3,account locked ad
"delete the charm 8111117934,  since it is no longer required",request you to delete the above charm since it is no longer required,boirqctx bkijgqry,GRP_38,en,delete charm since longer required request,42,6,6.166666666666667,6,delete charm since longer required request
job pp_EU_tool_netch_ap2 failed in job_scheduler at: 09/14/2016 22:13:00  ,"received from: monitoring_tool@company.com

job pp_EU_tool_netch_ap2 failed in job_scheduler at: 09/14/2016 22:13:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
job bkwin_HostName_770_inc failed in job_scheduler at: 09/14/2016 21:57:00  ,"received from: monitoring_tool@company.com

[major] from: bsm@HostName_1020.company.company.com ""HostName_770-full-backup""  time: 9/14/2016 9:09:47 pm
[61:3003]   lost connection to vbda named ""HostName_770.company.company.com [/e]""
 on host HostName_770.company.company.com.
 ipc subsystem reports: ""ipc read error
 system error: [10054] connection reset by peer

job bkwin_HostName_770_inc failed in job_scheduler at: 09/14/2016 21:57:00",bpctwhsn kzqsbmtp,GRP_5,en,job failed scheduler monitoringtool,35,4,8.0,4,job failed scheduler monitoringtool
unable to load engineering_tool on my new 2-1 says that it cannot connect to internet??,see above       cell#,horzelqj ujyzldmh,GRP_0,en,unable load engineering tool new say cannot connect internet see cell,69,11,5.363636363636363,11,unable load engineering tool new say cannot connect internet see cell
vpn and vpn will not allow access to erp,"

received from: pfzxecbo.ptygkvzl@gmail.com

this is the second time this week i have had an issue with vpn.  vpn was my workaround monday, but it is not working for me either this evening.

pfzxecbo ptygkvzl
sr analyst, na indirect industrial sales
pfzxecbo.ptygkvzl@gmail.com<mailto:pfzxecbo.ptygkvzl@gmail.com>



",pfzxecbo ptygkvzl,GRP_0,en,vpn allow access erp t second time week issue workaround monday working either evening sr analyst na indirect industrial sale,125,20,5.3,20,vpn allow access erp t second time week issue workaround monday working either evening sr analyst na indirect industrial sale
engineering_tool phone app,"

received from: vjuxfokc.cwhxnoug@gmail.com

please see attached screenshot of the engineering_tool app.

i am no longer able to check availability as the message ""unable to connect to availability server ""

i have tried uninstalling and reinstalling but didn't fix the problem?

is there a known issue?

it has been like this for a few weeks.






",vjuxfokc cwhxnoug,GRP_51,en,engineering tool phone app see attached screenshot longer able check availability message unable connect server tried uninstalling reinstalling fix problem known issue like t week,179,25,6.2,25,engineering tool phone app see attached screenshot longer able check availability message unable connect server tried uninstalling reinstalling fix problem known issue like t week
can you please remove quyhn mcgudftigre from usa campus calendars as requested ,"from: cwuospin nbhoxqpe 
sent: wednesday, september 14, 2016 9:42 pm
to: othybin graceuyt; nwfodmhc exurcwkm
cc: -facility
subject: rakthyesh - re: elt update call

hello help

can you please remove quyhn mcgudftigre from usa campus calendars as requested 
sincerely, 

stanfghyley guhtykes, fmp
facilities manager
usa campus 

on sep 14, 2016, at 11:23 am, othybin graceuyt <hkrecpfv.kgwpbexv@gmail.com> wrote:
hello.  please check this and see if quyhn's meetings can be removed from the calendar.
 
",cwuospin nbhoxqpe,GRP_26,en,remove quyhn mcgudftigre usa campus calendar requested,54,7,6.857142857142857,7,remove quyhn mcgudftigre usa campus calendar requested
since last security update i have been unable to print anything on the network printers,"error message asks me if i trust the printer, then tells me i need to download a driver for it. phone number 724-539-4869",trkwehzg pqjrhsul,GRP_0,en,since last security update unable print anytng network printer error message asks trust printer tell need download dri haver phone number,137,21,5.571428571428571,20,since last security update unable print anytng network printer error message asks trust printer tell need download dri haver phone number
application response time (other network resources work normally),"please provide details in the template below (if multiple applications are impacted, please use the quick ticket template in the ""operations"" folder).
site / location : usa
user id (ad) :steince
system you are seeing performance problems on (please list all) (e.g., crm, erp, bw, bobj):erp SID_34
transactions that are slow (e.g., va01, create an order):va01
area this belongs to (e.g., sales, finance, markhtyeting etc.):order processing
how can this issue be replicated by the it support group:
are other users seeing this? there are 5 remote users
please attach relevant screenshots and exact times when the issue occurred:",pbfscenq qvaylkne,GRP_4,en,application response time network resource work normally provide detail template multiple application impacted use quick ticket operation folder site location usauser id ad steincesystem seeing performance problem list e g crm erp bw bobj transaction slow create order area t belongs sale finance markhtyeting etc processinghow issue replicated support group user remote attach relevant screenshots exact time occurred,418,58,6.224137931034483,56,application response time network resource work normally provide detail template multiple application impacted use quick ticket operation folder site location usauser id ad steincesystem seeing performance problem list e g crm erp bw bobj transaction slow create order area t belongs sale finance markhtyeting etc processinghow issue replicated support group user remote attach relevant screenshots exact time occurred
outlook/crm error,"

received from: qjiutmel.fgvtxeoy@gmail.com

neither crm or outlook will load.  i have restarted the pc 3 times. locked up several times while synchronizing with crm

login:  wghjkftewj

[image1.jpg]
[image2.jpg]

",qjiutmel fgvtxeoy,GRP_0,en,outlook crm error neither load restarted pc time locked several wle synchronizing crmlogin wghjkftewj,101,14,6.285714285714286,14,outlook crm error neither load restarted pc time locked several wle synchronizing crmlogin wghjkftewj
